OBJECTID,URL,DC_CODE,TYPE,NAME,GIS_ID,SHAPE_Length,SHAPE_Area
1,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",DC ST § 2-1217.32,TIF,Mandarin Oriental Hotel,tif_1,716.470867676958,27928.6364479
2,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",DC ST § 2-1217.31,TIF,Gallery Place,tif_2,784.636758811447,35746.3704678352
3,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",DC CODE § 2-1219.19,TIF,Skyland Shopping Center,tif_3,1474.0720120715,80730.1661900498
4,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp", ,TIF,International Spy Museum,tif_4,514.504666583963,16035.2023165684
5,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp", ,TIF,Embassy Suites Hotel,tif_5,299.98555723219,5502.52141065589
6,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",DC ST § 2-1217.71,TIF,Downtown Retail Area,tif_6,5236.42290761919,529662.401689159
7,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",DC ST § 47-4608,TIF,DC-USA Retail Development,tif_7,718.559655178133,29577.4756061887
8,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",RESOLUTION 15-775,TIF,Fort Lincoln Retail Area,tif_8,1774.66456466017,172096.11492145
9,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",RESOLUTION 16-929,TIF,4100 Georgia Ave NW,tif_9,117.509166853946,814.580276701634
10,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",RESOLUTION 14-257,TIF,Downtown,tif_10,17268.4680767545,12525881.3112878
11,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",RESOLUTION 16-430,TIF,Capital Children's Museum,tif_11,1010.34798884392,25505.1104897727
12,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",RESOLUTION 15-776,TIF,Rhode Island Place,tif_12,788.152552561689,24263.7568292852
13,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",RESOLUTION 15-192,TIF,Capitol Hill Towers,tif_13,273.580905269503,4489.42206024316
14,http://cfo.dc.gov,RESOLUTION 16-658,PILOT,Southeast Federal Center,tif_14,2595.5260687566,230471.468974829
15,http://cfo.dc.gov,BILL 16-929,PILOT,Capper/Carrollsburg,tif_15,2354.37202697884,187748.667921317
16,http://cfo.dc.gov,RESOLUTION 16-657,PILOT,Department of Transportation,tif_16,906.768816695327,40253.4089012631
17,"http://cfo.dc.gov/cfo/cwp/view,a,1325,q,590509,cfoNav,|33208|.asp",,TIF,DC Ballpark,tif_17,4248.62040232654,648849.699243956
